"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2018-04-08","","4865.43017578125","","",""," *04/08/2018 David Henkel: TomTom MySports Watch*","0.424166679382324","2.92000007629395","","","","139","160","","","0.871379618420091","34.92","15","8","1","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Amgen Tour of California: Party In Long Beach","Bike","","","","2018-04-09","","38875.1796875","196","427","766.628","","1.08666670322418","9.9370002746582","","0","","120","150","","","0.765692928722848","63.14","27","38","4","0","0","","","","","","16","32","11","6","3","1","","","","","",""
"Zwift - Watopia","Bike","","","","2018-04-11","","2655.63989257813","188","268","49.93","","0.0736111104488373","10.0209999084473","","0","","108","123","","","0.689166766060156","3.11","3","1","0","0","0","","","","","","1","2","1","0","0","0","","","","","",""
"Zwift - Amgen Tour of California Time Trial #DoubleOuch","Bike","","","","2018-04-11","","16739.599609375","311","420","480.402","","0.429444432258606","10.8269996643066","","0","","151","174","","","1.15370903256733","56.01","5","0","2","20","0","","","","","","2","0","1","3","10","10","","","","","",""
"Post TT cooldown","Bike","","","","2018-04-11","","16309.330078125","171","338","325.604","","0.528888881206512","8.5649995803833","","21","","6","72","","","0.654251482451813","22.35","3","0","0","0","0","","","","","","11","17","4","1","0","0","","","","","",""
"Running","Run","","","","2018-04-11","","4852.08984375","","",""," *04/12/2018 David Henkel: TomTom MySports Watch*","0.371944457292557","3.50999999046326","","","","161","193","","","0.99181186913424","39.54","2","3","4","6","2","3","1","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-04-12","","18996.490234375","149","548","395.925","","0.737278938293457","7.15700006484985","","85","","","","","","0.671321138690563","32.64","","","","","","","","","","","23","11","5","3","1","1","","","","","",""
"Cycling","Bike","","","","2018-04-12","","27524.009765625","174","597","658.844","","1.05493915081024","7.24700021743774","","85","","","","","","0.720271865743173","54.27","","","","","","","","","","","24","18","10","5","2","4","","","","","",""
"","Swim","Broken 400s","","","2018-04-13","","2103.11999680326","","","","","0.5","1.16839999822403","","","","","","","","1.02222222222222","53.41","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-04-13","","8064.31005859375","","",""," *04/14/2018 David Henkel: TomTom MySports Watch*","0.721388876438141","2.42000007629395","","","","150","174","","","0.859819698065123","58.62","10","19","11","3","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-04-14","","43821.109375","","",""," *04/14/2018 David Henkel: TomTom MySports Watch*","2.62416672706604","4.6399998664856","","","","122","165","","","0.604594511668673","108.86","42","101","14","0","0","","","","","","","","","","","","","","","","",""
"Recovery ride","Bike","","","","2018-04-16","","24515.919921875","200","445","759.519","","1.05330216884613","6.46500015258789","","0","","99","140","","","0.725748959504022","40.54","35","28","0","0","0","","","","","","18","28","15","2","1","0","","","","","",""
"Running","Run","","","","2018-04-17","","754.989990234375","","",""," *04/17/2018 David Henkel: TomTom MySports Watch*","0.0686111077666283","3.05999994277954","","","","148","166","","","0.742588191120791","3.94","0","1","1","1","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-04-17","","5065.47998046875","","",""," *04/17/2018 David Henkel: TomTom MySports Watch*","0.408333331346512","3.15000009536743","","","","142","162","","","0.935643130334675","38.72","9","14","1","0","0","0","0","","","","","","","","","","","","","","",""
"","Swim","","","","2018-04-17","","1920.23999708124","","","","","0.466666666666667","1.14299999826264","","","","","","","","1","46.67","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-04-18","","33929.55859375","221","531","809.995","","1.01903307437897","9.24899959564209","","88","","","","","","0.943521112038147","90.27","","","","","","","","","","","15","10","6","9","13","8","","","","","",""
"Running","Run","","","","2018-04-18","","8062.41015625","","",""," *04/18/2018 David Henkel: TomTom MySports Watch*","0.657222211360931","2.6800000667572","","","","148","169","","","0.947095560219669","64.62","10","20","9","1","0","0","0","","","","","","","","","","","","","","",""
"30;' tempo up the Alpe","Bike","","","","2018-04-19","","22608.490234375","221","353","798.899","","1.00583338737488","6.24300003051758","","0","","0","0","","","0.831117182950185","68.81","","","","","","","","","","","6","17","21","15","2","0","","","","","",""
"Running","Run","","","","2018-04-20","","6475.1201171875","","",""," *04/20/2018 David Henkel: TomTom MySports Watch*","0.48027777671814","3.50999999046326","","","","154","171","","","1.03632374195587","56.1","2","9","8","9","1","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-04-21","","29089.279296875","","",""," *04/21/2018 David Henkel: TomTom MySports Watch*","1.46666669845581","5.51000022888184","","","","126","177","","","0.632969144543822","65.72","19","53","14","2","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-04-22","","67684.9296875","196","743","1456.124","","2.0704083442688","9.08100032806396","","87","","","","","","0.791437092980613","128.93","","","","","","","","","","","32","30","30","20","8","6","","","","","",""
"Running","Run","","","","2018-04-22","","3240.27001953125","","",""," *04/22/2018 David Henkel: TomTom MySports Watch*","0.256388902664185","3.50999999046326","","","","145","161","","","0.965665638707698","25.6","6","8","1","0","0","0","0","","","","","","","","","","","","","","",""
"","Other","Build with more sustained race efforts","","","2018-04-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recharge and ride","Bike","","","","2018-04-24","","28284.33984375","213","486","736.008","","0.958444714546204","8.19699954986572","","0","","0","0","","","0.819386797141241","60.07","","","","","","","","","","","10","19","17","9","3","1","","","","","",""
"","Swim","","","","2018-04-25","","2011.67999694225","","","","","0.5","1.11759999830125","","","","","","","","0.977777777777778","46.74","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-04-26","","18929.609375","164","593","404.13","","0.688741385936737","7.63500022888184","","86","","","","","","0.743976269248023","37.58","","","","","","","","","","","19","9","5","3","2","3","","","","","",""
"Cycling","Bike","","","","2018-04-26","","28817.240234375","197","542","705.289","","0.992394149303436","8.06599998474121","","86","","","","","","0.829222294149268","67.58","","","","","","","","","","","18","15","9","7","4","6","","","","","",""
"Running","Run","","","","2018-04-27","","5689.27001953125","","",""," *04/27/2018 David Henkel: TomTom MySports Watch*","0.418611109256744","3.45000004768372","","","","154","170","","","1.03562367763905","48.63","3","7","7","7","0","0","0","","","","","","","","","","","","","","",""
"Zwift - 4 x (5' LT + 3' AeT)","Bike","","","","2018-04-27","","21097.23046875","236","306","669.579","","0.787500023841858","7.44099998474121","","0","","0","0","","","0.912799738300449","64.96","","","","","","","","","","","2","20","5","5","15","0","","","","","",""
"90': 2x10' LT ME + 2x10' tempo + 5x1' AeC","Bike","First, we are going to hit some sustained efforts at threshold but in a climbing gear. Then we are going to hold intensity below threshold at a normal cadence and at the end, to finish you off, we are going to hit some shorter efforts above threshold. Today will require physical and mental fortitude. . 10' WU (build to tempo at the end!) . 2 x (10' LT @ 70-80 rpm + 5' easy @ 90-95 rpm) . 2 x (10' tempo @ 85-90 rpm + 5' easy @ 90-95 rpm) . 5 x (1' AeC @ 85-90 rpm + 3' easy @ 90-95 rpm)","","","2018-04-28","","43525.44921875","228","400","1046.548","","1.27416670322418","9.48799991607666","","0","","0","0","","","0.887318065673848","99.73","","","","","","","","","","","7","26","22","10","10","4","","","","","",""
"Cycling","Bike","","","","2018-04-29","","40810.55078125","","",""," *04/29/2018 David Henkel: TomTom MySports Watch*","2.27944445610046","4.96999979019165","","","","120","164","","","0.605082374972149","94.36","47","77","13","0","0","","","","","","","","","","","","","","","","",""
"","Other","Build with more sustained race efforts","","","2018-04-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-04-30","","22789.529296875","","",""," *04/30/2018 David Henkel: TomTom MySports Watch*","1.21166670322418","5.21999979019165","","","","113","143","","","0.594562703814736","47.67","40","32","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-05-01","","3761.09008789063","","",""," *05/01/2018 David Henkel: TomTom MySports Watch*","0.335277765989304","2.60999989509583","","","","153","200","","","0.826918032028067","24.71","4","5","3","3","1","2","1","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-05-02","","32692.390625","204","678","720.116","","0.980548024177551","9.26099967956543","","88","","","","","","0.87199503004849","74.43","","","","","","","","","","","16","10","10","13","7","3","","","","","",""
"Treadmill Running","Run","","","","2018-05-04","","3283.07006835938","","",""," *05/04/2018 David Henkel: TomTom MySports Watch*","0.234722226858139","3.89000010490417","","","","163","180","","","1.10095629833885","30.36","0","0","3","5","2","3","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-05-04","","17702.7840067616","","",""," *05/04/2018 David Henkel: TomTom MySports Watch*","0.58777779340744","8.36615501264727","","","","143","182","","","0.745852284880392","35.73","3","11","14","8","0","","","","","","","","","","","","","","","","",""
"Warm-up","Bike","","","","2018-05-05","","6635.919921875","174","280","145.897","","0.233164995908737","7.90500020980835","","0","","0","0","","","0.679062983450313","9.57","","","","","","","","","","","6","9","2","0","0","0","","","","","",""
"Fueled by sinus & allergy meds. Attack 4 sprint sections","Bike","","","","2018-05-05","","45141.9296875","223","655","1060.649","","1.32074797153473","9.49400043487549","","0","","0","0","","","0.896424069414588","104.36","","","","","","","","","","","9","24","30","11","4","4","","","","","",""
"Cycling","Bike","","","","2018-05-07","","16179.7099609375","","","","","1.01395916938782","4.43200016021729","","","","","","","","0.61","44","","","","","","","","","","","","","","","","","","","","","",""
"Pre-run sinus opener","Bike","","","","2018-05-08","","12976.3603515625","223","704","298.905","","0.371666669845581","9.69799995422363","","0","","0","0","","","0.895299557660951","29.13","","","","","","","","","","","3","7","9","4","1","1","","","","","",""
"","Run","","","","2018-05-08","","8046.72248946282","","","","","0.694444568622261","3.21868842023196","","","","","","","","","60","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-05-09","","25287.19921875","","",""," *05/09/2018 David Henkel: TomTom MySports Watch*","1.48222219944","4.73999977111816","","","","120","166","","","0.602112271805504","60.12","23","62","4","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-05-10","","4999.33984375","","",""," *05/10/2018 David Henkel: TomTom MySports Watch*","0.354722231626511","3.14000010490417","","","","160","185","","","1.0824970851029","44.87","1","4","7","5","2","1","1","","","","","","","","","","","","","","",""
"","Swim","","","","2018-05-10","","1097.27999833213","","","","","0.266666666666667","1.14299999826264","","","","","","","","1","26.67","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-05-12","","3224.3701171875","","",""," *05/12/2018 David Henkel: TomTom MySports Watch*","0.255277782678604","3.02999997138977","","","","170","197","","","0.966158819870285","25.54","1","1","1","1","2","4","3","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-05-12","","38971.921875","","",""," *05/12/2018 David Henkel: TomTom MySports Watch*","2.13638877868652","5.07000017166138","","","","134","173","","","0.668194658093209","107.69","21","54","50","4","0","","","","","","","","","","","","","","","","",""
"6 x (5' @ FTP + 3' AeT) #SnotRocketCity","Bike","","","","2018-05-14","","45210.87109375","232","545","1075.524","","1.28583335876465","9.76599979400635","","0","","0","0","","","0.918623547454371","108.02","","","","","","","","","","","5","32","10","2","29","1","","","","","",""
"Running","Run","","","","2018-05-15","","4854.02978515625","","",""," *05/15/2018 David Henkel: TomTom MySports Watch*","0.444166660308838","1.86000001430511","","","","149","180","","","0.801450094793342","30.99","6","14","5","1","0","0","0","","","","","","","","","","","","","","",""
"","Swim","","","","2018-05-15","","1828.79999722022","","","","","0.466666666666667","1.0885714269168","","","","","","","","0.952380952380952","40.31","","","","","","","","","","","","","","","","","","","","","",""
"jungle loop round 1","Bike","","","","2018-05-17","","13516.740234375","230","394","308.266","","0.371666669845581","10.1020002365112","","0","","0","0","","","0.913557326521838","30.33","","","","","","","","","","","12","8","5","3","3","2","","","","","",""
"jugle loop. round 2 #faster","Bike","","","","2018-05-17","","17124.91015625","245","418","412.391","","0.468055546283722","10.1630001068115","","0","","0","0","","","0.951817352171565","41.72","","","","","","","","","","","6","6","10","4","3","4","","","","","",""
"loosen legs for short run","Bike","","","","2018-05-18","","20005.5","224","667","473.57","","0.586388885974884","9.47599983215332","","0","","0","0","","","0.927556702318634","49.76","","","","","","","","","","","3","11","15","4","1","1","","","","","",""
"Running","Run","","","","2018-05-18","","4856.41015625","","",""," *05/18/2018 David Henkel: TomTom MySports Watch*","0.370277792215347","3.64000010490417","","","","161","186","","","0.988690333446494","39.11","1","3","6","7","2","3","1","","","","","","","","","","","","","","",""
"","Swim","","","","2018-05-19","","1554.47999763719","","","","","0.366666666666667","1.17763636184636","","","","","","","","1.03030303030303","40.1","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-05-19","","8060.93994140625","","",""," *05/19/2018 David Henkel: TomTom MySports Watch*","0.593611121177673","3.32999992370605","","","","169","196","","","1.02298197606835","67.92","1","4","4","6","3","11","5","","","","","","","","","","","","","","",""
"2.5 laps @ Richmond","Bike","","","","2018-05-20","","44831.7890625","216","604","1097.391","","1.40875267982483","8.83899974822998","","0","","0","0","","","0.891352932984344","109.7","","","","","","","","","","","9","36","21","9","5","5","","","","","",""
"","Run","","","","2018-05-20","","5632.70400215142","","","","","0.433333333333333","3.61070769368681","","","","","","","","","45","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-05-22","","3540.18994140625","","",""," *05/22/2018 David Henkel: TomTom MySports Watch*","0.287222236394882","0.699999988079071","","","","148","189","","","0.906645373011071","25.35","5","4","2","2","0","1","1","","","","","","","","","","","","","","",""
"","Swim","","","","2018-05-22","","1828.79999722022","","","","","0.433333333333333","1.17230769052578","","","","","","","","1.02564102564103","46.75","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic jaunt","Bike","","","","2018-05-22","","27523.44921875","206","359","627.51","","0.845000028610229","9.04699993133545","","0","","0","0","","","0.764199594573064","48.9","","","","","","","","","","","3","24","20","4","0","0","","","","","",""
"Running","Run","","","","2018-05-23","","6659.6298828125","","",""," *05/23/2018 David Henkel: TomTom MySports Watch*","0.419722229242325","2.42000007629395","","","","153","183","","","1.23754892784345","69.68","6","2","2","5","3","5","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-05-23","","653.330017089844","","",""," *05/23/2018 David Henkel: TomTom MySports Watch*","0.063888892531395","2.75","","","","132","149","","","0.799110835374042","4.22","3","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-05-24","","37429.80859375","","",""," *05/24/2018 David Henkel: TomTom MySports Watch*","1.6163889169693","6.42999982833862","","","","124","165","","","0.624877734697315","70.77","28","54","13","1","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-05-25","","34474.23046875","198","569","713.022","","1.00083553791046","9.56799983978271","","91","","","","","","0.792425729108752","62.25","","","","","","","","","","","12","17","18","8","3","3","","","","","",""
"Running","Run","","","","2018-05-25","","2350.919921875","","",""," *05/25/2018 David Henkel: TomTom MySports Watch*","0.16833333671093","3.07999992370605","","","","154","175","","","1.06595117096737","20.27","1","2","4","3","1","0","0","","","","","","","","","","","","","","",""
"Paddle In The Bay Tp Harpoons And Back","Other","","","","2018-05-26","","3283.48999023438","","",""," *05/26/2018 David Henkel: TomTom MySports Watch*","0.602500021457672","1.45000004768372","","","","140","169","","","0.697379916319383","32.07","21","9","4","2","0","0","0","","","","","","","","","","","","","","",""
"Swim with Biondi","Swim","","","","2018-05-26","","646.559997558594","","",""," *05/26/2018 David Henkel: TomTom MySports Watch*","0.0622222237288952","2.13000011444092","","","","122","157","","","2.52530926948706","15","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Swim with Biondi","Swim","","","","2018-05-26","","1879.94995117188","","",""," *05/26/2018 David Henkel: TomTom MySports Watch*","0.25","1.19000005722046","","","","127","164","","","1.82750068438748","35","12","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-05-27","","8060.97021484375","","",""," *05/27/2018 David Henkel: TomTom MySports Watch*","0.638888895511627","2.4300000667572","","","","154","182","","","0.983074704569561","67.67","3","14","15","4","1","1","0","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2018-05-27","","24542.5035928616","195","343","539.217","","0.76993054151535","8.85451575373348","","86","","","","","","0.73378758103824","60","","","","","","","","","","","3","34","5","3","1","0","","","","","",""
"Zwift - 5 x (6' high tempo + 2' aet)","Bike","","","","2018-05-29","","31161.390625","236","365","775.955","","0.913888871669769","9.4709997177124","","0","","0","0","","","0.891834586731995","72","","","","","","","","","","","2","17","4","30","1","0","","","","","",""
"30': Short but painful: 10' LT","Bike","Short, high intensity work to fatigue the legs and inflict a little pain! . 10' WU . 2 x (3' LT + 2' AeT) . 10' LT","","","2018-05-30","","11848.1103515625","236","295","290.697","","0.342222213745117","9.61600017547607","","0","","0","0","","","0.899835026717238","27.02","","","","","","","","","","","1","6","6","2","6","0","","","","","",""
"Running","Run","","","","2018-05-30","","4195.68017578125","","",""," *05/31/2018 David Henkel: TomTom MySports Watch*","0.343055546283722","3.21000003814697","","","","150","171","","","0.975965013109101","35.24","3","9","6","1","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-05-30","","3693.11010742188","","",""," *05/31/2018 David Henkel: TomTom MySports Watch*","0.31361111998558","3.04999995231628","","","","145","167","","","0.891264599256849","26.81","7","7","3","1","0","0","0","","","","","","","","","","","","","","",""
"","Swim","","","","2018-05-31","","1920.23999708124","","","","","0.5","1.06679999837846","","","","","","","","0.933333333333333","40.65","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-01","","35469.05859375","203","500","750.181","","1.02635550498962","9.60000038146973","","89","","","","","","0.810718458048755","67.24","","","","","","","","","","","11","19","16","11","4","1","","","","","",""
"Running","Run","Track workout . 10' WU . 5 x (800 @ 5K pace + 1:00 rest or 200 jog + 200 @ faster 5K pace + 1:00 rest or 200 jog)","","","2018-06-02","","5674.89013671875","","",""," *06/02/2018 David Henkel: TomTom MySports Watch*","0.384166657924652","2.29999995231628","","","","149","195","","","1.14472352234732","54.41","6","6","5","2","1","1","0","","","","","","","","","","","","","","",""
"","Swim","300 swim, 200 pull (buoy only), 100 drill 6×75 at 1:45 (kick/drill/swim by 25) 4×100 swim at 2:00 (Distance Per Stroke) 6×50 at 1:05 drill 4×100 swim at 1:55 (Descend time 1–4) 6×50 pull at 1:00 4×100 swim at 1:50 (strong effort) 3×150 with :30 rest (50 swim/50 kick/50 swim) *3300 total* Read more at http://www.triathlete.com/2017/04/training/quick-set-friday-dps-and-descents_57406#g5KBEc5WYd7sFFbK.99","","","2018-06-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Watopia","Bike","","","","2018-06-02","","17126.5703125","184","391","440.906","","0.66634476184845","7.13899993896484","","0","","0","0","","","0.867720660289154","37.3","","","","","","","","","","","15","7","11","7","3","1","","","","","",""
"","Swim","","","","2018-06-02","","1200","","","","","0.3","1.11111111111111","","","","","","","","0.972100711111111","27.56","","","","","","","","","","","","","","","","","","","","","",""
"4x3' @ race watts + 4x3' above race watts + 4x20"" blowouts","Bike","","","","2018-06-03","","35867.390625","236","556","859.346","","1.0097222328186","9.86699962615967","","0","","0","0","","","0.944698040395824","89.48","","","","","","","","","","","4","30","0","3","23","2","","","","","",""
"Treadmill Running","Run","","","","2018-06-03","","2462.31005859375","","",""," *06/03/2018 David Henkel: TomTom MySports Watch*","0.16833333671093","4.05999994277954","","","","159","176","","","1.16498643829503","24.16","0","1","5","3","1","0","0","","","","","","","","","","","","","","",""
"","Other","Race Week","","","2018-06-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","Easy swim with some race pace effforts","","","2018-06-05","","1280.15999805416","","","","","0.333333333333333","1.06679999837846","","","","","","","","0.933333333333333","27.1","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-06","","22876.6796875","244","576","550.201","","0.62617301940918","10.1479997634888","","92","","","","","","0.930754280999032","53.3","","","","","","","","","","","3","6","11","9","5","3","","","","","",""
"Running","Run","","","","2018-06-06","","5009.6298828125","","",""," *06/06/2018 David Henkel: TomTom MySports Watch*","0.35249999165535","3.10999989509583","","","","149","172","","","1.07696614000499","44.13","2","10","6","2","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-08","","23033.060546875","207","656","499.823","","0.670408070087433","9.54399967193604","","92","","","","","","0.808604939153637","43.25","","","","","","","","","","","7","8","13","8","2","2","","","","","",""
"Cycling","Bike","","","","2018-06-09","","11516.919921875","188","445","225.526","","0.333619445562363","9.58899974822998","","91","","","","","","0.744436072056962","17.86","","","","","","","","","","","5","6","6","3","1","1","","","","","",""
"Cycling","Bike","","","","2018-06-10","","18713.650390625","234","547","423.463","","0.503021955490112","10.3339996337891","","91","","","","","","0.908495033831067","40.9","","","","","","","","","","","4","3","8","9","4","2","","","","","",""
"Cycling","Bike","","","","2018-06-12","","21075.970703125","169","527","483.958","","0.795036435127258","7.36399984359741","","88","","","","","","0.736573706450263","42.59","","","","","","","","","","","18","14","7","3","1","3","","","","","",""
"Cycling","Bike","","","","2018-06-12","","21255.44921875","183","705","514.091","","0.78039276599884","7.56599998474121","","89","","","","","","0.795157432187539","48.72","","","","","","","","","","","17","10","7","6","3","4","","","","","",""
"Cycling","Bike","","","","2018-06-14","","28585.76953125","","","","","1.02488052845001","7.7480001449585","","","","","","","","","60","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-14","","28434.76953125","","","","","1.04244863986969","7.5770001411438","","","","","","","","","60","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","","","","2018-06-15","","2800","","","","","0.7","1.11111111111111","","","","","","","","0.972100711111111","64.3","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-06-15","","8022.97998046875","","",""," *06/16/2018 David Henkel: TomTom MySports Watch*","0.666666666666667","3.34290832519531","","","","170","250","","","0.210925962222565","60","11","26","20","13","27","23","20","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-16","","26816.669921875","","",""," *06/16/2018 David Henkel: TomTom MySports Watch*","1.54555559158325","4.53999996185303","","","","128","181","","","0.640872296583522","71.09","23","50","17","3","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-17","","11485.4296875","","",""," *06/17/2018 David Henkel: TomTom MySports Watch*","0.85361111164093","2.76999998092651","","","","123","160","","","0.616457869955888","35.79","13","33","5","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-18","","20969.109375","152","500","428.918","","0.781871974468231","7.44999980926514","","85","","","","","","0.666402574709325","34.38","","","","","","","","","","","24","12","4","3","2","2","","","","","",""
"Cycling","Bike","","","","2018-06-18","","21287.6796875","188","699","518.973","","0.768880248069763","7.69099998474121","","86","","","","","","0.845209937044324","54.29","","","","","","","","","","","17","10","7","4","3","5","","","","","",""
"Running","Run","","","","2018-06-19","","6541.41015625","","",""," *06/19/2018 David Henkel: TomTom MySports Watch*","0.491666674613953","2.90000009536743","","","","157","179","","","0.990597140179295","52.51","3","12","3","3","3","5","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-06-19","","1433.06994628906","","",""," *06/22/2018 David Henkel: TomTom MySports Watch*","0.243611112236977","1.62999999523163","","","","148","165","","","0.715917592988104","13.35","4","6","4","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-06-22","","6511.169921875","","",""," *06/22/2018 David Henkel: TomTom MySports Watch*","0.519999980926514","3.32999992370605","","","","150","170","","","0.949459117598608","51.09","6","16","8","2","0","0","0","","","","","","","","","","","","","","",""
"1 lap of Richmond...pre-run","Bike","","","","2018-06-22","","18487.439453125","242","664","473.537","","0.542500019073486","9.46599960327148","","0","","0","0","","","1.00797713420096","54.26","","","","","","","","","","","5","8","8","6","2","4","","","","","",""
"","Swim","10 x 100 in condo pool","","","2018-06-23","","2011.67999694225","","","","","0.5","1.11759999830125","","","","","","","","0.977777777777778","46.74","","","","","","","","","","","","","","","","","","","","","",""
"65': 2 x (15' High AeT + 10' Tempo + 5' LT)","Bike","Good mix of varying paces with no rest! The idea is to flex the aerobic system in different ways to keep your body off balance. Please try to remain in Aero for a majority of the workout. . Repeat 2 times 15' @ High AeT 10' @ Tempo 5' @ LT +  5' CD","","","2018-06-23","","37299.5","188","317","1108.728","","1.08333333333333","9.56397435897436","","0","","0","0","","","0.85451897312889","80.03","","","","","","","","","","","35","8","37","19","1","0","","","","","",""
"Cycling","Bike","Long, aerobic MTB","","","2018-06-24","","40913.26953125","","",""," *06/24/2018 David Henkel: TomTom MySports Watch*","2.86444449424744","3.97000002861023","","","","116","156","","","0.594716680934008","115.22","81","83","8","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","Negative Split Transition Run","","","2018-06-24","","3237.7099609375","","",""," *06/24/2018 David Henkel: TomTom MySports Watch*","0.246944442391396","3.64000010490417","","","","160","191","","","0.983816985308496","25.57","2","3","2","3","2","2","1","","","","","","","","","","","","","","",""
"","Swim","","","","2018-06-26","","1828.79999722022","","","","","0.466666666666667","1.0885714269168","","","","","","","","0.952380952380952","40.31","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-26","","31537.830078125","","",""," *06/26/2018 David Henkel: TomTom MySports Watch*","1.41555559635162","6.19000005722046","","","","128","158","","","0.609555458717429","80","8","71","5","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-06-27","","6447.02978515625","","",""," *06/27/2018 David Henkel: TomTom MySports Watch*","0.539722204208374","2.44000005722046","","","","139","159","","","0.92097015816527","49.94","15","15","1","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-28","","32807.6484375","","",""," *06/29/2018 David Henkel: TomTom MySports Watch*","1.78472220897675","5.1100001335144","","","","119","188","","","0.608436463483918","100","38","64","3","2","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-06-30","","826.880004882813","","",""," *06/30/2018 David Henkel: TomTom MySports Watch*","0.0669444426894188","3.4300000667572","","","","177","204","","","0.948699878190624","6.24","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Ocean Swim","Swim","","","","2018-06-30","","1627.2900390625","","",""," *06/30/2018 David Henkel: TomTom MySports Watch*","0.231944441795349","1.55999994277954","","","","126","158","","","1.70503094610953","114.97","10","1","1","0","0","0","0","","","","","","","","","","","","","","",""
"Ocean Swim","Swim","","","","2018-06-30","","1325.5","","",""," *06/30/2018 David Henkel: TomTom MySports Watch*","0.16777777671814","1.66999995708466","","","","139","163","","","1.91997938848368","118.75","7","2","1","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-06-30","","847.039978027344","","",""," *06/30/2018 David Henkel: TomTom MySports Watch*","0.0736111104488373","3.20000004768372","","","","158","185","","","0.939577633462515","6.74","0","0","0","1","1","1","0","","","","","","","","","","","","","","",""
