"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2018-01-23","","6536.5498046875","","","","","0.481413602828979","3.7720000743866","","77","","","","","","1.04081661562647","56.79","","","","","","","","","","","","","","","","","","","","","",""
"","Day Off","Rest","","","2018-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"First TT ride on kickr. Thunder thighs rubbing on top tube. Raise the saddle?","Bike","","","","2018-01-25","","30625.330078125","229","634","801.595","","0.972096421983507","8.75100040435791","","85","","0","0","","","0.924347492356052","78.02","","","","","","","","","","","21","15","16","7","8","5","","","","","",""
"Running","Run","","","","2018-01-26","","9661.9296875","","","","","0.82769638299942","3.24300003051758","","76","","","","","","0.897248254876718","73.45","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-01-27","","25057.5","","","","","1.47708606719971","4.71199989318848","","","","134","165","","","0.67684379003381","75.69","16","36","34","3","0","","","","","","","","","","","","","","","","",""
"1 big zwift mtn & 1 fast sprint","Bike","","","","2018-01-28","","33234.140625","232","587","910.645","","1.08916666666667","8.47500038146973","","87","","0","0","","","0.916028662795552","90.78","","","","","","","","","","","8","15","16","14","11","2","","","","","",""
"","Day Off","Rest","","","2018-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-01-30","","8469.240234375","","","","","0.718729734420776","3.27300000190735","","77","","","","","","0.868071392817822","59.47","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-01-31","","9694.1904296875","","","","","0.816651403903961","3.29699993133545","","77","","","","","","0.879979122829215","69.65","","","","","","","","","","","","","","","","","","","","","",""
"Shake legs out from plane ride","Bike","","","","2018-02-01","","30651.140625","214","646","748.375","","0.972813856336806","8.7519998550415","","84","","0","0","","","0.933452076543702","77.68","","","","","","","","","","","11","18","15","7","3","6","","","","","",""
"","Other","Lumberjack - 4 x 400 tempo + 2 mile tempo + 4 x 400 tempo","","","2018-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Other","Stepdown Ladder After running 10 minutes at half marathon pace, jog slowly for 5 minutes as recovery. Once those five minutes are up, begin a descending ladder of pickups, starting with 6 minutes at your goal 10K pace—no faster. Upon completion of the 6-minute pickup, jog for 3 minutes as recovery. Continue to step down the ladder with faster pickups of 5 minutes at 10K race pace, 4 minutes at 5K race pace, 3 minutes @ 5K race pace, 2 minutes at 3K race pace (roughly 15 seconds per mile faster than your 5K pace) and, finally, 1 minute at 1-mile race pace. The recovery between each pickup is an easy jog for half the duration of the preceding interval, so 2:30 after the 5-minute pickup and so forth.","","","2018-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
